Object ID	Circularity Factor 	Total Intensity TransCon	Mean Intensity TransCon	Total Intensity 488nm	Mean Intensity 488nm	Total Intensity 561nm	Mean Intensity 561nm	Area 	Well 	Position 	Parent Object ID (Well)	Parent Trace ID	R01
181	1.0624049	14457974	12474.524	132106	113.98274	152700	131.75151	1159	6	3	5	-1	1
182	1.1136197	4839534	15815.471	35900	117.32026	44586	145.70589	306	6	3	5	-1	0
183	1.0700888	26773466	14226.071	200658	106.61955	222070	117.99681	1882	7	1	6	-1	1
184	1.0293401	26151474	16395.908	267028	167.41568	182561	114.45831	1595	7	1	6	-1	1
185	1.0450269	16270594	15599.803	176034	168.77661	115641	110.87344	1043	7	1	6	-1	1
186	1.2813721	7032156	16091.891	44989	102.94965	44644	102.16019	437	7	1	6	-1	0
187	1.1476438	4020943	17037.895	24244	102.72881	24014	101.75423	236	7	1	6	-1	0
188	1.1581745	12717143	16623.717	78546	102.67451	77790	101.68627	765	7	1	6	-1	0
189	1.0319389	18500750	17339.035	190249	178.30272	135547	127.03561	1067	7	2	6	-1	1
190	1.04871	28301908	17352.488	276689	169.64378	204424	125.3366	1631	7	2	6	-1	1
191	1.0361846	15413613	14693.625	172632	164.56816	170578	162.61011	1049	7	2	6	-1	1
192	1.034975	12716898	18756.486	111010	163.73157	71554	105.53687	678	7	2	6	-1	1
193	1.0336625	22350782	16056.597	236342	169.78592	260255	186.9648	1392	7	2	6	-1	1
194	1.0481621	26948256	14872.105	341442	188.43378	771871	425.97739	1812	7	2	6	-1	1
195	1.1120021	21326856	15114.71	277476	196.65202	149150	105.70518	1411	7	2	6	-1	1
196	1.0834478	12391563	14578.31	146750	172.64706	102915	121.07647	850	7	2	6	-1	1
197	1.0614647	20259110	15198.132	217963	163.51312	226446	169.87697	1333	7	2	6	-1	1
198	1.0313418	16122646	15210.043	179391	169.23679	188452	177.78491	1060	7	2	6	-1	1
199	1.0259414	24084508	15865.947	271214	178.66534	268230	176.6996	1518	7	2	6	-1	1
200	1.037557	17798084	15251.144	175635	150.50128	126499	108.39674	1167	7	2	6	-1	1
201	1.0356122	10222771	14815.61	108259.99	156.89854	73938	107.15652	690	7	2	6	-1	1
202	1.0474469	25855212	15660.334	250101.98	151.48515	185458	112.33071	1651	7	2	6	-1	1
203	1.0409035	14630899	14838.64	154503	156.69676	106515	108.02738	986	7	2	6	-1	1
204	1.0391379	14444738	14459.197	151259	151.41042	114913	115.02803	999	7	2	6	-1	1
205	1.10586	3537709	14618.632	39959	165.11983	25366	104.81818	242	7	2	6	-1	0
206	1.0326843	24388092	13944.021	207777	118.7976	194907	111.43911	1749	7	3	6	-1	1
207	1.0415394	23494188	13934.868	184997	109.72539	196140	116.33452	1686	7	3	6	-1	1
208	1.2202985	52250712	14140.924	422853	114.43924	418705	113.31664	3695	8	1	7	-1	0
209	1.4781248	5279298	17140.578	33907	110.08766	33137	107.58766	308	8	1	7	-1	0
210	1.2468692	37589844	13463.411	313434	112.26146	307810	110.24713	2792	8	1	7	-1	0
211	1.0311282	40344948	16768.475	328390	136.48795	269006	111.80632	2406	8	1	7	-1	0
212	1.0309155	26558792	16214.159	248718.98	151.84309	181583	110.85653	1638	8	1	7	-1	1
213	1.0443764	11770345	14749.806	124433	155.93108	84687	106.12406	798	8	1	7	-1	1
214	1.0661917	9149584	15747.993	91318	157.17384	79834	137.40791	581	8	1	7	-1	1
215	1.0253368	18928284	15721.166	191101	158.72176	170295	141.44102	1204	8	1	7	-1	1
216	1.0575088	17010486	15026.931	180029	159.03622	193789	171.1917	1132	8	1	7	-1	1
217	1.0919966	15446948	14753.532	117024	111.77077	200289	191.29799	1047	8	1	7	-1	1
218	1.071848	20974904	13673.34	231027.02	150.60431	266169	173.51303	1534	8	2	7	-1	1
219	1.052564	10293735	16313.367	114209	180.99683	111552	176.78606	631	8	2	7	-1	1
220	1.0920455	11413063	14557.479	124670	159.01785	101690.99	129.7079	784	8	2	7	-1	1
221	1.1351532	31481866	19103.074	252888.98	153.45206	208028	126.23058	1648	8	2	7	-1	0
222	1.0486199	16376285	16230.213	161451	160.01089	177640	176.0555	1009	8	2	7	-1	1
223	1.0498104	26831924	16461.303	253737	155.66687	294166	180.46994	1630	8	2	7	-1	1
224	1.0432266	19153498	15201.188	225852	179.24762	208264	165.28889	1260	8	2	7	-1	1
225	1.0374513	19507106	15335.775	225836	177.54402	189176	148.72327	1272	8	2	7	-1	1
226	1.1022409	18457376	13561.629	146804	107.86481	163578	120.18957	1361	8	3	7	-1	1
227	1.3377303	2844023	15712.834	18504	102.23204	18494	102.1768	181	8	3	7	-1	0
228	1.0175504	27568396	15889.565	291916	168.2513	177492	102.30087	1735	8	3	7	-1	1
229	1.0271094	32363550	15634.565	310763	150.12706	211809	102.32319	2070	8	3	7	-1	1
230	1.1363844	28946602	15487.748	310254	166	205066	109.71964	1869	8	3	7	-1	0
231	1.0369876	20708736	16128.3	222581	173.34969	131320	102.27415	1284	9	1	8	-1	1
232	1.0411306	14279472	16116.785	146741	165.6219	102537	115.73025	886	9	1	8	-1	1
233	1.0608219	24498978	16213.751	224290	148.43813	190110	125.81734	1511	9	1	8	-1	1
234	1.1527178	9660789	7636.9873	129435	102.32016	129409.99	102.30039	1265	9	1	8	-1	0
235	1.0740814	3808271	16414.961	23964	103.29311	23656	101.96552	232	9	1	8	-1	0
236	1.106813	3308913	15682.052	21797	103.30331	21530	102.03792	211	9	1	8	-1	0
237	1.1130883	4827959	15881.444	31330	103.05921	30902	101.65131	304	9	1	8	-1	0
238	1.3103298	2864992	16005.542	18376	102.65922	18150	101.39664	179	9	1	8	-1	0
239	1.0407168	23438312	18557.65	176149	139.46872	211583	167.52415	1263	9	2	8	-1	1
240	1.0162494	34256388	17406.701	296676	150.75	386428	196.3557	1968	9	2	8	-1	0
241	1.0491147	24162686	15917.448	276284	182.00526	231349	152.40382	1518	9	2	8	-1	1
242	1.1310004	4782034	14805.059	63572	196.81734	38181	118.20743	323	9	2	8	-1	0
243	1.0282813	19981400	18214.586	161750	147.44759	112108	102.19508	1097	9	2	8	-1	1
244	1.0332938	21316262	16027.265	207734	156.19098	136718	102.79549	1330	9	2	8	-1	1
245	1.0547725	15998162	16509.971	158737	163.81528	99681	102.86997	969	9	2	8	-1	1
246	1.0942944	26376444	15433.847	255804	149.68051	175817	102.87712	1709	9	2	8	-1	1
247	1.0360794	22805100	18406.053	163215	131.73123	126330	101.96126	1239	9	2	8	-1	1
248	1.0385613	20469776	15843.479	225126	174.24612	185326	143.44118	1292	9	3	8	-1	1
249	1.0755199	15411084	14566.242	130236	123.09641	173059	163.57184	1058	9	3	8	-1	1
250	1.0531478	9894605	13780.787	90865	126.55293	108538	151.16713	718	9	3	8	-1	1
251	1.0419818	25548824	15948.08	264195	164.91573	188946	117.94382	1602	10	1	9	-1	1
252	1.0512691	10380614	16044.226	115374	178.32149	70589	109.10201	647	10	1	9	-1	1
253	1.0276035	25573998	17117.803	284427	190.37952	235374	157.54619	1494	10	1	9	-1	1
254	1.0226173	40686096	18818.73	324896	150.27567	268645	124.25763	2162	10	1	9	-1	0
255	1.0459149	31023954	18666.639	244337.98	147.01443	207936	125.11192	1662	10	1	9	-1	1
256	1.0207739	19184790	16711.49	215618	187.82056	178388	155.39024	1148	10	1	9	-1	1
257	1.0392756	7149161	16174.572	88705	200.69005	47363	107.15611	442	10	1	9	-1	1
258	1.0345119	28381622	16675.453	264031	155.12985	266513	156.58813	1702	10	1	9	-1	1
259	1.1175591	11885838	17004.061	116345	166.44492	105472.99	150.89127	699	10	1	9	-1	1
260	1.0521798	13725777	16497.328	141462	170.02644	93182	111.9976	832	10	1	9	-1	1
261	1.0774427	7759759	15708.015	50498	102.22267	50215	101.6498	494	10	1	9	-1	1
262	1.0262586	25794758	16440.254	245784.98	156.65073	174850	111.44041	1569	10	1	9	-1	1
263	1.1132486	16149423	14614.862	124518	112.68597	150532	136.22806	1105	10	1	9	-1	1
264	1.0394978	34953040	17117.062	362026	177.28992	369660	181.0284	2042	10	2	9	-1	1
265	1.2519594	5953755	13531.262	47792	108.61818	47717	108.44773	440	10	2	9	-1	0
266	1.0424008	23351958	16364.372	225915	158.31465	145659	102.07358	1427	10	2	9	-1	1
267	1.0271736	15173809	16421.871	153146	165.74243	94126	101.86797	924	10	2	9	-1	1
268	1.0356729	9680966	15741.408	103727	168.66179	63263	102.86667	615	10	3	9	-1	1
269	1.0540035	18184240	16962.91	195215	182.10355	117244	109.3694	1072	10	3	9	-1	1
270	1.115789	35513984	17383.252	349221	170.93539	220528	107.94322	2043	10	3	9	-1	0
271	1.0529037	32292764	16186.85	324980	162.89725	219630	110.09023	1995	10	3	9	-1	1
272	1.0234447	23414580	16547.406	249791	176.53075	154404	109.11944	1415	10	3	9	-1	1
273	1.2233983	4017002	15101.512	27298	102.62406	27143	102.04135	266	10	3	9	-1	0
274	1.0348746	31146350	16497.008	335898	177.91208	331261	175.45604	1888	10	3	9	-1	1
275	1.025856	17206594	16754.23	185668	180.78676	115379	112.34566	1027	10	3	9	-1	1
276	1.044541	24022176	16253.163	251033.02	169.84642	168837	114.23342	1478	10	3	9	-1	1
277	1.0539858	27119702	14843.844	278356	152.35687	495527.97	271.22495	1827	11	2	10	-1	1
278	1.1819459	10124704	14609.963	77749	112.19192	70814	102.18471	693	11	2	10	-1	0
279	1.0467876	22130764	17155.631	194441	150.72946	142857	110.74186	1290	11	2	10	-1	1
280	1.0649359	14793501	15157.275	168283	172.42111	147412	151.03688	976	11	2	10	-1	1
281	1.0382679	24370424	17762.699	186909	136.23105	153628	111.97376	1372	11	2	10	-1	1
