ORF,Gene,Well ID,Well cell count,Mean Intensity 488nm,STD Intensity 488nm,Median Intensity 488nm
YDL022W,GPD1,1O24,11,134.51057818181815,30.05192443380916,132.78815
YOR124C,UBP2,6A14,19,134.51142368421057,16.618769705518453,137.64003
YPL184C,MRN1,12I8,14,135.01906714285712,29.991057753170722,114.54049499999999
YOR204W,DED1,6A17,1246,135.27343479133233,12.267014611068753,135.86754000000002
YER117W,RPL23B,10D3,15,135.38831666666667,27.26502937413436,120.47699
YDR332W,IRC3,15C16,26,135.39791192307695,15.458587825173945,137.255065
YDR237W,MRPL7,15C21,11,135.39833363636365,22.7842202484519,141.78725
YGR147C,NAT2,2B1,7,135.48912714285711,34.007048888474436,111.75393
YGR193C,PDX1,15E21,29,135.51838586206893,25.000277695834775,137.95525
YJR004C,SAG1,16B7,21,135.6225504761905,28.487805322568544,115.36999
YDR304C,CPR5,16I5,39,135.71812923076922,17.084576097320767,136.45073
YOR147W,MDM32,15L19,51,135.74405274509806,21.48231516490325,136.06227
YHR050W-A,YHR050W-A,5D24,20,135.76166900000004,28.08136685625764,139.41046
YKR027W,BCH2,3E16,3,135.85586333333333,20.271811335291012,145.02351
YDL214C,PRR2,12N4,14,136.21633285714287,25.15596771258812,145.149665
YMR316C-A,YMR316C-A,16B16,22,136.2513013636364,23.390057212375577,129.53503
YGL036W,YGL036W,6D16,346,136.43908176300573,11.714229706292247,138.397155
YHR110W,ERP5,16G12,43,136.52446093023252,31.130105204253095,122.94075
YDR021W,FAL1,6A16,148,136.75845979729735,11.009893383810374,138.42776
YEL022W,GEA2,2A5,8,136.79978875,32.78060930822603,119.826885
YHL013C,OTU2,10A21,516,136.8021361821706,16.74474028054839,134.414535
YNR028W,CPR8,16F4,7,136.82852571428572,18.983813599509677,142.07399
YCL054W,SPB1,9O22,12,136.89472666666668,27.967129411427177,138.562365
YIL052C,RPL34B,13M3,19,136.9100194736842,16.77081210264444,141.50589
YHR055C,CUP1-2,2N1,15,137.02055199999998,27.505300590551688,118.54662
YNL207W,RIO2,13L4,11,137.0986581818182,24.19226019344154,133.25566
YDR279W,RNH202,6D8,18,137.14945055555555,25.597576258224706,143.55594000000002
YCR011C,ADP1,16E9,10,137.17125800000002,26.073144133828496,151.653965
YLR118C,YLR118C,12N3,24,137.24372708333337,25.71335253732793,133.21942
YPL189C-A,COA2,9I14,23,137.32519869565215,24.710560945897807,141.05161
YKL138C,MRPL31,15G18,16,137.374985625,19.8154947128463,139.05704500000002
YML027W,YOX1,16L1,12,137.42299500000001,21.728407784281554,142.31562
YHR206W,SKN7,5K24,28,137.4907560714286,35.06829130699342,141.66111999999998
YOL135C,MED7,13B12,104,137.49104807692305,27.63808183263922,151.82153499999998
YOR288C,MPD1,16L4,32,137.60396843749996,18.689875450767644,139.271525
YNL162W,RPL42A,7N8,25,137.6176584,29.472081928649818,137.96552
YMR144W,YMR144W,13E21,5,137.63359400000002,26.10406282056263,144.0538
YFL020C,PAU5,16M9,34,137.7497605882353,18.797367750926597,136.21346499999999
YOL055C,THI20,5H21,2078,137.76111569778658,20.00519401545249,134.838525
YGL128C,CWC23,6G7,10,137.837703,26.051698515522318,131.14150999999998
YKR098C,UBP11,11F14,14,137.851465,30.325021503444653,116.33722
YPR033C,HTS1,15J20,1491,137.88840789403082,13.2611032466526,141.05283
YOR010C,TIR2,16J6,22,137.94302999999994,20.868592002935664,134.21659
YCL004W,PGS1,15A21,314,138.04858458598736,16.8202359248911,142.23717
YMR069W,NAT4,10B24,1522,138.12596137976342,14.816237711796836,137.121735
YBL017C,PEP1,16A17,23,138.2111308695652,27.286413419695442,125.96452
YHL017W,YHL017W,16E6,17,138.23187764705884,17.82259484049164,141.87024
YDR113C,PDS1,13K12,17,138.23670294117647,30.27546590486176,143.0695
YPL072W,UBP16,16N4,19,138.25665052631578,26.03625385143281,131.27405
YPR089W,YPR089W,6B16,1151,138.2794466203301,13.125115008316838,140.67976
YLR386W,VAC14,10D18,2188,138.30211886197446,30.03565579664485,146.97811000000002
YHR202W,YHR202W,16I6,28,138.41513964285713,16.15579814281306,135.05093
YEL018W,EAF5,6C16,311,138.55699549839233,11.823335745399206,139.63799
YNL040W,YNL040W,6J11,56,138.62513035714284,18.792551830193887,144.77142500000002
YER167W,BCK2,11P15,1828,138.68187296498917,11.967675467218642,138.77447
YLR121C,YPS3,16H9,18,138.77361444444443,24.406184285582263,142.915755
YGL157W,ARI1,6G15,1479,138.7993273225151,14.892612501093685,141.71274
YLR073C,RFU1,9L23,10,138.828438,28.63683999315869,125.57
YLR177W,YLR177W,13F14,17,138.91221588235297,30.934757832283104,138.88303
YLR084C,RAX2,16H1,20,139.04048500000002,21.939372890024266,137.863445
YGL032C,AGA2,16A12,22,139.12893181818183,26.669524616698403,145.675325
YHR126C,ANS1,16G14,11,139.19233636363634,26.66224134052209,124.9538
YGR057C,LST7,2M6,18,139.26705666666666,26.079045109415066,129.76039
YOL031C,SIL1,16H6,35,139.2738071428571,22.990596769937405,137.94434
YOR297C,TIM18,10L21,30,139.31581666666668,21.7417118210994,138.440255
